review_id,review_text,rating,verified_purchase,reviewer_total_reviews,helpful_votes,label
28,This is the best purchase I have ever made in my entire life totally worth every penny,5,Yes,4,1,1
29,This is the best purchase I have ever made in my entire life totally worth every penny,5,No,1,1,1
30,Best best best product in this price range nothing can beat this amazing item,1,No,4,2,1
31,The taste is good but slightly sweeter than expected. Packaging was intact on delivery. Will order again next month.,5,Yes,55,27,0
32,Five stars five stars five stars best purchase ever made totally recommend buy,1,No,2,0,1
33,Good build quality but the charging cable that came with it stopped working after 3 weeks. Had to buy a separate one. Product itself is fine.,4,No,117,23,0
34,Amazing amazing amazing perfect perfect perfect love it love it love it,5,No,5,2,1
35,"Assembly took about 40 minutes, instructions were a bit unclear in Hindi but manageable. Table is sturdy once assembled.",4,Yes,150,10,0
36,Amazing amazing amazing perfect perfect perfect love it love it love it,5,No,3,2,1
37,Good build quality but the charging cable that came with it stopped working after 3 weeks. Had to buy a separate one. Product itself is fine.,5,Yes,56,34,0
38,Bought this phone 3 months ago. Battery lasts about a day with normal use. Camera is good in daylight but struggles a bit at night. Overall happy with the purchase for this price range.,4,Yes,131,18,0
39,This product changed my life completely amazing incredible fantastic wonderful,1,No,5,2,1
40,Not bad for a budget option. Screen brightness could be better in sunlight. Sound quality is above average though.,4,Yes,90,40,0
41,Bought this phone 3 months ago. Battery lasts about a day with normal use. Camera is good in daylight but struggles a bit at night. Overall happy with the purchase for this price range.,5,No,35,5,0
42,"Assembly took about 40 minutes, instructions were a bit unclear in Hindi but manageable. Table is sturdy once assembled.",5,Yes,167,29,0
43,Amazing amazing amazing perfect perfect perfect love it love it love it,5,No,2,2,1
44,Good build quality but the charging cable that came with it stopped working after 3 weeks. Had to buy a separate one. Product itself is fine.,4,Yes,15,16,0
45,Superb product super fast delivery super quality super price buy now buy now,1,No,2,2,1
46,Super product super quality super packing super delivery super duper amazing,1,No,5,1,1
47,Laptop heats up a bit during long usage but performance for coding and browsing is smooth. Battery backup is around 4-5 hours.,5,Yes,102,17,0
48,Highly recommended highly recommended highly recommended best seller best product,5,No,1,2,1
49,Excellent product excellent quality excellent service highly recommend to everyone amazing,5,No,2,1,1
50,Shoes are comfortable for walking but not ideal for running long distances. Sole started showing wear after a month of daily use.,5,Yes,73,37,0
51,Works well for basic office use. Fan gets a bit loud under heavy load. Would recommend for students but not for gaming.,5,Yes,34,28,0
52,Works well for basic office use. Fan gets a bit loud under heavy load. Would recommend for students but not for gaming.,4,No,57,16,0
53,The book arrived with a slightly bent cover but content and print quality are excellent. Took a week to deliver to Jabalpur.,4,Yes,178,35,0
54,Amazing amazing amazing perfect perfect perfect love it love it love it,5,No,5,1,1
55,I ordered the medium size and it fits true to size. Material is soft but wrinkles easily. Would buy again in a different color.,4,No,151,8,0
56,Excellent product excellent quality excellent service highly recommend to everyone amazing,5,Yes,4,2,1
57,"The fabric quality is decent, not premium but okay for daily wear. Size runs slightly small so order one size up. Delivery took 5 days.",4,Yes,103,38,0
58,"Used this for 6 weeks. Skin didn't break out, mild fragrance. Doesn't work miracles but does what it says - basic moisturizing.",5,Yes,161,36,0
59,I am very very happy with this product it is very very good very nice very good,5,No,3,0,1
60,Five stars five stars five stars best purchase ever made totally recommend buy,5,No,2,1,1
61,This product changed my life completely amazing incredible fantastic wonderful,1,No,2,0,1
62,Good for the price but customer service was slow to respond when I had a query about warranty. Product performance is satisfactory.,5,No,102,7,0
63,"The fabric quality is decent, not premium but okay for daily wear. Size runs slightly small so order one size up. Delivery took 5 days.",5,No,160,20,0
64,Wow amazing product wow amazing quality wow amazing price wow buy immediately,1,No,1,1,1
65,Excellent product excellent quality excellent service highly recommend to everyone amazing,5,No,2,0,1
66,Good build quality but the charging cable that came with it stopped working after 3 weeks. Had to buy a separate one. Product itself is fine.,5,Yes,152,7,0
67,The taste is good but slightly sweeter than expected. Packaging was intact on delivery. Will order again next month.,5,Yes,105,13,0
68,Best product ever!!! Amazing quality!!! Must buy!!! 5 stars!!!,5,No,3,0,1
69,"I've been using this mixer grinder for 2 months now. Motor is powerful, handles dal and chutney easily. Only issue is the jar lid doesn't seal perfectly.",5,Yes,198,34,0
70,"I've been using this mixer grinder for 2 months now. Motor is powerful, handles dal and chutney easily. Only issue is the jar lid doesn't seal perfectly.",5,No,29,14,0
71,The book arrived with a slightly bent cover but content and print quality are excellent. Took a week to deliver to Jabalpur.,4,Yes,72,4,0
72,Perfect product perfect fit perfect color perfect price perfect delivery perfect everything,5,No,3,1,1
73,Works well for basic office use. Fan gets a bit loud under heavy load. Would recommend for students but not for gaming.,5,No,101,6,0
74,Superb product super fast delivery super quality super price buy now buy now,5,No,3,2,1
75,Perfect product perfect fit perfect color perfect price perfect delivery perfect everything,5,No,1,2,1
76,Best best best product in this price range nothing can beat this amazing item,1,No,2,2,1
77,"Decent budget earphones. Bass is average, mids are clear. Had connectivity drop issues once or twice but otherwise fine for the price.",4,Yes,90,13,0
78,Laptop heats up a bit during long usage but performance for coding and browsing is smooth. Battery backup is around 4-5 hours.,5,Yes,153,0,0
79,Best product ever!!! Amazing quality!!! Must buy!!! 5 stars!!!,5,No,3,1,1
80,"Decent budget earphones. Bass is average, mids are clear. Had connectivity drop issues once or twice but otherwise fine for the price.",4,No,28,6,0
81,Super product super quality super packing super delivery super duper amazing,5,No,1,1,1
82,Totally satisfied totally happy totally amazed by this wonderful magical product,1,No,4,0,1
83,Outstanding quality outstanding service outstanding everything five star five star,5,No,5,1,1
84,This product changed my life completely amazing incredible fantastic wonderful,5,No,2,1,1
85,Outstanding quality outstanding service outstanding everything five star five star,1,No,2,1,1
86,"I've been using this mixer grinder for 2 months now. Motor is powerful, handles dal and chutney easily. Only issue is the jar lid doesn't seal perfectly.",5,No,99,4,0
87,"The fabric quality is decent, not premium but okay for daily wear. Size runs slightly small so order one size up. Delivery took 5 days.",5,Yes,160,15,0
88,"I've been using this mixer grinder for 2 months now. Motor is powerful, handles dal and chutney easily. Only issue is the jar lid doesn't seal perfectly.",5,Yes,50,27,0
89,This is the best purchase I have ever made in my entire life totally worth every penny,5,Yes,4,2,1
90,Bought this phone 3 months ago. Battery lasts about a day with normal use. Camera is good in daylight but struggles a bit at night. Overall happy with the purchase for this price range.,5,No,32,38,0
91,Best product ever!!! Amazing quality!!! Must buy!!! 5 stars!!!,1,No,2,1,1
92,"The fabric quality is decent, not premium but okay for daily wear. Size runs slightly small so order one size up. Delivery took 5 days.",5,No,93,15,0
93,Amazing amazing amazing perfect perfect perfect love it love it love it,5,No,3,2,1
94,"Assembly took about 40 minutes, instructions were a bit unclear in Hindi but manageable. Table is sturdy once assembled.",5,Yes,122,37,0
95,Perfect product perfect fit perfect color perfect price perfect delivery perfect everything,5,Yes,2,2,1
96,Superb product super fast delivery super quality super price buy now buy now,5,No,5,1,1
97,I ordered the medium size and it fits true to size. Material is soft but wrinkles easily. Would buy again in a different color.,5,Yes,186,23,0
98,"Used this for 6 weeks. Skin didn't break out, mild fragrance. Doesn't work miracles but does what it says - basic moisturizing.",5,Yes,42,40,0
99,Highly recommended highly recommended highly recommended best seller best product,1,No,2,1,1
100,"I've been using this mixer grinder for 2 months now. Motor is powerful, handles dal and chutney easily. Only issue is the jar lid doesn't seal perfectly.",5,Yes,188,34,0
101,"I've been using this mixer grinder for 2 months now. Motor is powerful, handles dal and chutney easily. Only issue is the jar lid doesn't seal perfectly.",4,No,57,24,0
102,Works well for basic office use. Fan gets a bit loud under heavy load. Would recommend for students but not for gaming.,5,Yes,158,34,0
103,"The fabric quality is decent, not premium but okay for daily wear. Size runs slightly small so order one size up. Delivery took 5 days.",4,Yes,38,13,0
104,"I've been using this mixer grinder for 2 months now. Motor is powerful, handles dal and chutney easily. Only issue is the jar lid doesn't seal perfectly.",5,Yes,38,3,0
105,Totally satisfied totally happy totally amazed by this wonderful magical product,1,No,2,0,1
106,Excellent product excellent quality excellent service highly recommend to everyone amazing,1,No,5,1,1
107,This is the best purchase I have ever made in my entire life totally worth every penny,1,Yes,5,1,1
108,I am very very happy with this product it is very very good very nice very good,1,No,5,1,1
109,Best product ever!!! Amazing quality!!! Must buy!!! 5 stars!!!,5,Yes,2,2,1
110,Best best best product in this price range nothing can beat this amazing item,1,No,1,1,1
111,This product changed my life completely amazing incredible fantastic wonderful,5,No,2,0,1
112,Five stars five stars five stars best purchase ever made totally recommend buy,5,No,3,1,1
113,"I've been using this mixer grinder for 2 months now. Motor is powerful, handles dal and chutney easily. Only issue is the jar lid doesn't seal perfectly.",4,Yes,179,29,0
114,Wow amazing product wow amazing quality wow amazing price wow buy immediately,1,No,2,2,1
115,Excellent product excellent quality excellent service highly recommend to everyone amazing,1,No,1,0,1
116,Best product ever!!! Amazing quality!!! Must buy!!! 5 stars!!!,5,No,1,1,1
117,Good for the price but customer service was slow to respond when I had a query about warranty. Product performance is satisfactory.,5,Yes,189,4,0
118,Five stars five stars five stars best purchase ever made totally recommend buy,1,No,4,1,1
119,"The fabric quality is decent, not premium but okay for daily wear. Size runs slightly small so order one size up. Delivery took 5 days.",5,Yes,139,30,0
120,This product changed my life completely amazing incredible fantastic wonderful,5,No,5,0,1
